# Stack: robot|Calibration (frames=51, fps=50.000)
time=0.400000s frame=20 bone=FR_thigh_joint angle_deg=12.083825
time=0.400000s frame=20 bone=FR_calf_joint angle_deg=-117.983539
time=0.400000s frame=20 bone=FL_hip_joint angle_deg=-17.760045
time=0.400000s frame=20 bone=FL_thigh_joint angle_deg=12.082348
time=0.400000s frame=20 bone=FL_calf_joint angle_deg=-117.983541
time=0.420000s frame=21 bone=RR_hip_joint angle_deg=-14.277162
time=0.420000s frame=21 bone=RR_thigh_joint angle_deg=80.497855
time=0.420000s frame=21 bone=RR_calf_joint angle_deg=-114.848972
time=0.420000s frame=21 bone=RL_hip_joint angle_deg=-14.277166
time=0.420000s frame=21 bone=RL_thigh_joint angle_deg=80.497858
time=0.420000s frame=21 bone=RL_calf_joint angle_deg=-114.848991
time=0.420000s frame=21 bone=FR_hip_joint angle_deg=-14.277162
time=0.420000s frame=21 bone=FR_thigh_joint angle_deg=20.500719
time=0.420000s frame=21 bone=FR_calf_joint angle_deg=-114.848971
time=0.420000s frame=21 bone=FL_hip_joint angle_deg=-14.277166
time=0.420000s frame=21 bone=FL_thigh_joint angle_deg=20.499297
time=0.420000s frame=21 bone=FL_calf_joint angle_deg=-114.848973
time=0.440000s frame=22 bone=RR_hip_joint angle_deg=-10.748185
time=0.440000s frame=22 bone=RR_thigh_joint angle_deg=89.026297
time=0.440000s frame=22 bone=RR_calf_joint angle_deg=-111.672939
time=0.440000s frame=22 bone=RL_hip_joint angle_deg=-10.748181
time=0.440000s frame=22 bone=RL_thigh_joint angle_deg=89.026270
time=0.440000s frame=22 bone=RL_calf_joint angle_deg=-111.672935
time=0.440000s frame=22 bone=FR_hip_joint angle_deg=-10.748185
time=0.440000s frame=22 bone=FR_thigh_joint angle_deg=29.028927
time=0.440000s frame=22 bone=FR_calf_joint angle_deg=-111.672938
time=0.440000s frame=22 bone=FL_hip_joint angle_deg=-10.748181
time=0.440000s frame=22 bone=FL_thigh_joint angle_deg=29.027614
time=0.440000s frame=22 bone=FL_calf_joint angle_deg=-111.672948
time=0.460000s frame=23 bone=RR_hip_joint angle_deg=-7.184671
time=0.460000s frame=23 bone=RR_thigh_joint angle_deg=97.638205
time=0.460000s frame=23 bone=RR_calf_joint angle_deg=-108.465786
time=0.460000s frame=23 bone=RL_hip_joint angle_deg=-7.184674
time=0.460000s frame=23 bone=RL_thigh_joint angle_deg=97.638178
time=0.460000s frame=23 bone=RL_calf_joint angle_deg=-108.465805
time=0.460000s frame=23 bone=FR_hip_joint angle_deg=-7.184671
time=0.460000s frame=23 bone=FR_thigh_joint angle_deg=37.640609
time=0.460000s frame=23 bone=FR_calf_joint angle_deg=-108.465800
time=0.460000s frame=23 bone=FL_hip_joint angle_deg=-7.184674
time=0.460000s frame=23 bone=FL_thigh_joint angle_deg=37.639392
time=0.460000s frame=23 bone=FL_calf_joint angle_deg=-108.465786
time=0.480000s frame=24 bone=RR_hip_joint angle_deg=-3.598092
time=0.480000s frame=24 bone=RR_thigh_joint angle_deg=106.305746
time=0.480000s frame=24 bone=RR_calf_joint angle_deg=-105.237912
time=0.480000s frame=24 bone=RL_hip_joint angle_deg=-3.598096
time=0.480000s frame=24 bone=RL_thigh_joint angle_deg=106.305773
time=0.480000s frame=24 bone=RL_calf_joint angle_deg=-105.237930
time=0.480000s frame=24 bone=FR_hip_joint angle_deg=-3.598092
time=0.480000s frame=24 bone=FR_thigh_joint angle_deg=46.307912
time=0.480000s frame=24 bone=FR_calf_joint angle_deg=-105.237932
time=0.480000s frame=24 bone=FL_hip_joint angle_deg=-3.598096
time=0.480000s frame=24 bone=FL_thigh_joint angle_deg=46.306833
time=0.480000s frame=24 bone=FL_calf_joint angle_deg=-105.237942
time=0.500000s frame=25 bone=RR_hip_joint angle_deg=-0.000009
time=0.500000s frame=25 bone=RR_thigh_joint angle_deg=115.001212
time=0.500000s frame=25 bone=RR_calf_joint angle_deg=-101.999669
time=0.500000s frame=25 bone=RL_hip_joint angle_deg=0.000003
time=0.500000s frame=25 bone=RL_thigh_joint angle_deg=115.001200
time=0.500000s frame=25 bone=RL_calf_joint angle_deg=-101.999688
time=0.500000s frame=25 bone=FR_hip_joint angle_deg=-0.000009
time=0.500000s frame=25 bone=FR_thigh_joint angle_deg=55.002980
time=0.500000s frame=25 bone=FR_calf_joint angle_deg=-101.999667
time=0.500000s frame=25 bone=FL_hip_joint angle_deg=0.000003
time=0.500000s frame=25 bone=FL_thigh_joint angle_deg=55.002083
time=0.500000s frame=25 bone=FL_calf_joint angle_deg=-101.999668
time=0.520000s frame=26 bone=RR_hip_joint angle_deg=3.598082
time=0.520000s frame=26 bone=RR_thigh_joint angle_deg=123.696677
time=0.520000s frame=26 bone=RR_calf_joint angle_deg=-98.761419
time=0.520000s frame=26 bone=RL_hip_joint angle_deg=3.598086
time=0.520000s frame=26 bone=RL_thigh_joint angle_deg=123.696665
time=0.520000s frame=26 bone=RL_calf_joint angle_deg=-98.761437
time=0.520000s frame=26 bone=FR_hip_joint angle_deg=3.598082
time=0.520000s frame=26 bone=FR_thigh_joint angle_deg=63.697972
time=0.520000s frame=26 bone=FR_calf_joint angle_deg=-98.761447
time=0.520000s frame=26 bone=FL_hip_joint angle_deg=3.598086
time=0.520000s frame=26 bone=FL_thigh_joint angle_deg=63.697300
time=0.520000s frame=26 bone=FL_calf_joint angle_deg=-98.761416
time=0.540000s frame=27 bone=RR_hip_joint angle_deg=7.184638
time=0.540000s frame=27 bone=RR_thigh_joint angle_deg=132.364279
time=0.540000s frame=27 bone=RR_calf_joint angle_deg=-95.533552
time=0.540000s frame=27 bone=RL_hip_joint angle_deg=7.184649
time=0.540000s frame=27 bone=RL_thigh_joint angle_deg=132.364253
time=0.540000s frame=27 bone=RL_calf_joint angle_deg=-95.533570
time=0.540000s frame=27 bone=FR_hip_joint angle_deg=7.184638
time=0.540000s frame=27 bone=FR_thigh_joint angle_deg=72.365029
time=0.540000s frame=27 bone=FR_calf_joint angle_deg=-95.533549
time=0.540000s frame=27 bone=FL_hip_joint angle_deg=7.184649
time=0.540000s frame=27 bone=FL_thigh_joint angle_deg=72.364621
time=0.540000s frame=27 bone=FL_calf_joint angle_deg=-95.533549
time=0.560000s frame=28 bone=RR_hip_joint angle_deg=10.748168
time=0.560000s frame=28 bone=RR_thigh_joint angle_deg=140.976187
time=0.560000s frame=28 bone=RR_calf_joint angle_deg=-92.326406
time=0.560000s frame=28 bone=RL_hip_joint angle_deg=10.748187
time=0.560000s frame=28 bone=RL_thigh_joint angle_deg=140.976160
time=0.560000s frame=28 bone=RL_calf_joint angle_deg=-92.326432
time=0.560000s frame=28 bone=FR_hip_joint angle_deg=10.748168
time=0.560000s frame=28 bone=FR_thigh_joint angle_deg=80.976324
time=0.560000s frame=28 bone=FR_calf_joint angle_deg=-92.326411
time=0.560000s frame=28 bone=FL_hip_joint angle_deg=10.748187
time=0.560000s frame=28 bone=FL_thigh_joint angle_deg=80.976198
time=0.560000s frame=28 bone=FL_calf_joint angle_deg=-92.326411
time=0.580000s frame=29 bone=RR_hip_joint angle_deg=14.277152
time=0.580000s frame=29 bone=RR_thigh_joint angle_deg=149.504538
time=0.580000s frame=29 bone=RR_calf_joint angle_deg=-89.150397
time=0.580000s frame=29 bone=RL_hip_joint angle_deg=14.277148
time=0.580000s frame=29 bone=RL_thigh_joint angle_deg=149.504527
time=0.580000s frame=29 bone=RL_calf_joint angle_deg=-89.150414
time=0.580000s frame=29 bone=FR_hip_joint angle_deg=14.277152
time=0.580000s frame=29 bone=FR_thigh_joint angle_deg=89.503935
time=0.580000s frame=29 bone=FR_calf_joint angle_deg=-89.150377
time=0.580000s frame=29 bone=FL_hip_joint angle_deg=14.277148
time=0.580000s frame=29 bone=FL_thigh_joint angle_deg=89.504176
time=0.580000s frame=29 bone=FL_calf_joint angle_deg=-89.150393
time=0.600000s frame=30 bone=RR_hip_joint angle_deg=17.760032
time=0.600000s frame=30 bone=RR_thigh_joint angle_deg=157.921591
time=0.600000s frame=30 bone=RR_calf_joint angle_deg=-86.015799
time=0.600000s frame=30 bone=RL_hip_joint angle_deg=17.760028
time=0.600000s frame=30 bone=RL_thigh_joint angle_deg=157.921580
time=0.600000s frame=30 bone=RL_calf_joint angle_deg=-86.015832
time=0.600000s frame=30 bone=FR_hip_joint angle_deg=17.760032
time=0.600000s frame=30 bone=FR_thigh_joint angle_deg=97.921824
time=0.600000s frame=30 bone=FR_calf_joint angle_deg=-86.015810
time=0.600000s frame=30 bone=FL_hip_joint angle_deg=17.760028
time=0.600000s frame=30 bone=FL_thigh_joint angle_deg=97.921657
time=0.600000s frame=30 bone=FL_calf_joint angle_deg=-86.015810
time=0.620000s frame=31 bone=RR_hip_joint angle_deg=21.185309
time=0.620000s frame=31 bone=RR_thigh_joint angle_deg=166.199423
time=0.620000s frame=31 bone=RR_calf_joint angle_deg=-82.933097
time=0.620000s frame=31 bone=RL_hip_joint angle_deg=21.185305
time=0.620000s frame=31 bone=RL_thigh_joint angle_deg=166.199397
time=0.620000s frame=31 bone=RL_calf_joint angle_deg=-82.933114
time=0.620000s frame=31 bone=FR_hip_joint angle_deg=21.185309
time=0.620000s frame=31 bone=FR_thigh_joint angle_deg=106.199559
time=0.620000s frame=31 bone=FR_calf_joint angle_deg=-82.933092
time=0.620000s frame=31 bone=FL_hip_joint angle_deg=21.185305
time=0.620000s frame=31 bone=FL_thigh_joint angle_deg=106.199416
time=0.620000s frame=31 bone=FL_calf_joint angle_deg=-82.933084
time=0.640000s frame=32 bone=RR_hip_joint angle_deg=24.541472
time=0.640000s frame=32 bone=RR_thigh_joint angle_deg=174.310233
time=0.640000s frame=32 bone=RR_calf_joint angle_deg=-79.912574
time=0.640000s frame=32 bone=RL_hip_joint angle_deg=24.541469
time=0.640000s frame=32 bone=RL_thigh_joint angle_deg=174.310221
time=0.640000s frame=32 bone=RL_calf_joint angle_deg=-79.912591
time=0.640000s frame=32 bone=FR_hip_joint angle_deg=24.541472
time=0.640000s frame=32 bone=FR_thigh_joint angle_deg=114.310351
time=0.640000s frame=32 bone=FR_calf_joint angle_deg=-79.912569
time=0.640000s frame=32 bone=FL_hip_joint angle_deg=24.541469
time=0.640000s frame=32 bone=FL_thigh_joint angle_deg=114.310238
time=0.640000s frame=32 bone=FL_calf_joint angle_deg=-79.912569
